Unnamed: 0,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp,pricing,free,promo,service,fast,slow,movie_game,texting
170,97624,90318,,Los Angeles - USSA,┌П┐(•_•),,1,exposeliberals,,592116252518293504,Obama Illegal alien rapes 10 year old girl in New Orleans http://t.co/onwmkHa76k #tcot #tgdn #tlot http://t.co/fAfDtohGON,Pacific Time (US & Canada),Sun Apr 26 00:01:30 +0000 2015,0,0,0,0,0,0,0,0
171,65339,2746,,Cocooned - Transforming,Jeff Johnson,,125,Jeffsnation,,592116251977191424,"RT @rolandsmartin: If the unrest continues in Baltimore, Pres Obama should junk the jokes &amp; give a real speech on the reality of police bru…",Eastern Time (US & Canada),Sun Apr 26 00:01:30 +0000 2015,0,0,0,0,0,0,0,0
172,2738,2603,,"Indianapolis, IN",David Monroe,,0,David0Monroe,,592116249942990849,Warren to Obama: Stop making 'untrue' trade claims | TheHill http://t.co/kZmBXi1Yna,,Sun Apr 26 00:01:29 +0000 2015,0,0,0,0,0,0,0,0
173,152,362,,,coyote_50,,13,coyote_50,,592116249942839296,"RT @Thomasismyuncle: If you really want to #ResistCapitalism, Cuba is open for business... prove it. Thanks Obama.",,Sun Apr 26 00:01:29 +0000 2015,0,0,0,0,0,0,0,0
174,1235,1616,,Taxation w/o Representation,DC,,0,costadaniel,,592116247598374912,Elizabeth Warren Tells Obama To Put Up Or Shut Up On Trade/#TPP: after President accuses her &amp; critical Dems of lying http://t.co/6ijNFcpAqt,Eastern Time (US & Canada),Sun Apr 26 00:01:29 +0000 2015,0,0,0,0,0,0,0,0
175,2615,2552,,,Judy Kay,,1,Kay15Judy,,592116247321411585,RT @NaughtyBeyotch: Megyn Kelly Takes Obama Spokeswoman Marie Harf to the Woodshed! http://t.co/OnyqNntoZS,,Sun Apr 26 00:01:29 +0000 2015,0,0,0,0,0,0,0,0
176,253,253,,USA,Kim,,9,7KimMarie7,,592116239251550208,RT @joe_nuzz: #Churchill's opinion of #Islam (he lived in India &amp; Africa) helps one understand why #Obama hates him. http://t.co/kOOok7OJR0,Eastern Time (US & Canada),Sun Apr 26 00:01:27 +0000 2015,0,0,0,0,0,0,0,0
177,643,551,,France,Nadia,,1,nadiachorba,,592116238987481089,RT @Nikkiqueen11: @nadiachorba won the solo dm with Obama lol,,Sun Apr 26 00:01:27 +0000 2015,0,0,0,0,0,0,0,0
178,25931,28401,"{u'type': u'Point', u'coordinates': [0.0, 0.0]}","Bloomfield Hills, MI",Lori Singer,"{u'full_name': u'Birmingham, MI', u'url': u'https://api.twitter.com/1.1/geo/id/b456150eed80704e.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-83.248591, 42.530837], [-83.185059, 42.530837], [-83.185059, 42.566543], [-83.248591, 42.566543]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'b456150eed80704e', u'name': u'Birmingham'}",0,LoriSinger,,592116237985013761,"....Why all the military assets being sent down south, Obama?  #WHCD  #JadeHelm  #JadeHelm15  #JH15  #WalmartClosings",Eastern Time (US & Canada),Sun Apr 26 00:01:26 +0000 2015,0,0,0,0,0,0,0,0
179,1124,2001,,Virginia. Richmond. ,Dave.,,3,101flyboy,,592116237456580608,RT @tlrd: Obama's 11 Best White House Correspondents' Dinner Jokes: WATCH http://t.co/olm7wAaQye #WHCD #WHCD2015 http://t.co/Ju0LYVJs0X,Atlantic Time (Canada),Sun Apr 26 00:01:26 +0000 2015,0,0,0,0,0,0,0,0
180,937,1991,,"Bonita Springs, Florida, USA",Wendy Morris,,15,morrislaw,,592116235179061249,"RT @cspan: ""Oh God, it's Mom.""  @mamawoodhouse with President Obama &amp; @FLOTUS Michelle Obama. #WHCD #WHCD2015 #NerdProm http://t.co/uD7KNzq…",Eastern Time (US & Canada),Sun Apr 26 00:01:26 +0000 2015,0,0,0,0,0,0,0,0
181,973,991,,USA,Larry K Chapman,,0,LKChapman147,,592116231802523648,Obama &amp;the plan for WW3: Best documentary of the Yea 2015please RT:   http://t.co/ZtZrSTWuDE,,Sun Apr 26 00:01:25 +0000 2015,0,0,0,0,0,0,0,0
182,456,535,,In the stacks,Bookish Belle,,1,bookishpony,,592116228006629377,"RT @HuffPostImpact: New Orleans ends vet homelessness, proves it's ""not an impossible problem"" http://t.co/aJt1YfHHbm",Pacific Time (US & Canada),Sun Apr 26 00:01:24 +0000 2015,0,0,0,0,0,0,0,0
